i	0.559	3	
i	1.345	5	
i	1.588	6	
i	2.978	8	
t 0	4.575	6	
i	9.23	10	
i	14.193	14	
i	17.765	18	
i	24.137	20	
t 0	28.7375	3	
t 0	28.793	8	
h 0	28.793	8	
i	31.438	25	
t 0	33.41	5	
h 0	33.41	5	
i	33.977	27	
i	35.389	29	
h 0	36.9996	10	
t 0	36.9996	10	
i	38.262	32	
i	39.568	34	
i	43.606	37	
t 0	48.0798	18	
h 0	48.0798	18	
i	48.103	39	
h 0	48.9699	14	
t 0	48.9699	14	
t 0	52.7607	20	
h 0	52.7607	20	
i	52.886	42	
i	52.889	43	
i	54.765	45	
i	58.159	47	
t 0	58.325	45	
i	60.182	48	
t 0	61.83	25	
i	62	50	
t 0	63.449	14	
i	63.931	51	
i	63.974	52	
t 0	64.3708	29	
h 0	64.3708	29	
i	65.645	53	
t 0	65.7001	27	
h 0	65.7001	27	
t 0	66.7464	32	
h 0	66.7464	32	
i	67.022	54	
t 0	67.065	53	
t 0	67.8703	34	
h 0	67.8703	34	
i	68.499	55	
i	69.679	57	
t 0	72.023	43	
h 0	72.2101	37	
t 0	72.2101	37	
i	72.922	63	
t 0	73.191	52	
t 0	76.777	20	
t 0	77.192	39	
h 0	77.192	39	
i	77.694	66	
t 0	79.0737	42	
h 0	79.0737	42	
t 0	80.4229	8	
h 0	80.4229	8	
t 0	80.948	29	
i	81.365	69	
i	83.258	71	
t 0	84.458	71	
t 0	86.399	5	
t 0	88.3735	47	
h 0	88.3735	47	
t 0	90.2861	48	
t 0	90.618	39	
t 0	91.0297	50	
h 0	91.0297	50	
t 0	92.5389	10	
i	92.554	78	
h 0	97.9811	55	
t 0	97.9811	55	
i	98.04	81	
h 0	98.0717	54	
t 0	98.0717	54	
t 0	99.3572	57	
t 0	99.4525	51	
h 0	99.4525	51	
t 0	102.337	63	
h 0	102.337	63	
t 0	102.58	8	
h 0	107.365	66	
t 0	107.365	66	
t 0	108.709	18	
h 0	108.709	18	
t 0	108.85	69	
h 0	108.85	69	
i	110.53	85	
t 0	111.198	63	
i	116.035	88	
t 0	123.235	78	
h 0	123.235	78	
h 0	123.715	32	
t 0	123.715	32	
t 0	124.475	34	
h 0	124.475	34	
i	125.321	95	
h 0	125.409	81	
t 0	125.409	81	
i	125.494	96	
t 0	127.063	37	
h 0	129.146	27	
t 0	129.146	27	
i	129.955	99	
t 0	131.449	42	
t 0	133.197	18	
i	134.52	101	
i	134.736	102	
t 0	137.14	95	
i	137.667	103	
h 0	138.718	85	
t 0	138.718	85	
i	141.003	106	
i	144.613	109	
i	147.684	112	
t 0	147.779	109	
h 0	148.803	47	
t 0	148.803	47	
t 0	149.089	50	
h 0	149.089	50	
t 0	152.752	88	
h 0	152.752	88	
t 0	154.581	47	
